name,label,catchment,river,situation,easting,northing,x,y
SACT_L_Gar01,SACT_L_Gar01 - Abhainn Gleann a' Gharaidh - In bend section by old sheilings on Morsgail side of Garry burn,abhainn_ghriomarstaidh,Abhainn Gleann a' Gharaidh,In bend section by old sheilings on Morsgail side of Garry burn,115251,917494,-6.828767,58.05478
ALLT BUIDHE 1,"ALLT BUIDHE 1 - Allt Buidhe - U/S FROM BRIDGE, OPP. TRACK FOR HOUSE AT BEND.",appin_coastal,Allt Buidhe,"U/S FROM BRIDGE, OPP. TRACK FOR HOUSE AT BEND.",200701,744820,-5.244172,56.552938
ALLT BUIDHE 2,"ALLT BUIDHE 2 - Allt Buidhe - U/S FROM STEP FALLS, WALL ON RB.",appin_coastal,Allt Buidhe,"U/S FROM STEP FALLS, WALL ON RB.",200982,744663,-5.239488,56.551649
ALLT BUIDHE 3,ALLT BUIDHE 3 - Allt Buidhe - 150M D/S OF RUIN PLUS 50M D/S OF RB TRIB.,appin_coastal,Allt Buidhe,150M D/S OF RUIN PLUS 50M D/S OF RB TRIB.,202067,744311,-5.221599,56.54895
Argyll_0195,Argyll_0195 - River Creran - 50 m downstream of Ellerich bridge,appin_coastal,River Creran,50 m downstream of Ellerich bridge,204023,748487,-5.192992,56.587228
Creran2,Creran2 - River Creran - 100m D/S of bridge,appin_coastal,River Creran,100m D/S of bridge,201958,746701,-5.225194,56.570342
Creran4A,Creran4A - River Creran - D/S of confluence,appin_coastal,River Creran,D/S of confluence,203767,748305,-5.197016,56.585489
Creran7D,"Creran7D - River Creran - Upper mainstem, below Salachail house.",appin_coastal,River Creran,"Upper mainstem, below Salachail house.",205653,750888,-5.168298,56.609444
lola1,lola1 - An Lola - Upstream of Rd bridge,appin_coastal,An Lola,Upstream of Rd bridge,195933,745059,-5.321789,56.553035
lola5,"lola5 - An Lola - Upper mainstem - Upstream of bdrk section, downstream of old ruin on RB",appin_coastal,An Lola,"Upper mainstem - Upstream of bdrk section, downstream of old ruin on RB",197294,747044,-5.301239,56.571427
car3,car3 - Carnoch River,ardnamurchan_coastal,Carnoch River,,185440,760282,-5.5048,56.684865
Allt Gobhlach 1,Allt Gobhlach 1 - Allt Gobhlach - Upstream of weir,arran_coastal,Allt Gobhlach,Upstream of weir,187341,644068,-5.380893,55.643485
Allt Gobhlach 2,Allt Gobhlach 2 - Allt Gobhlach - Upstream of woody debris weir,arran_coastal,Allt Gobhlach,Upstream of woody debris weir,187408,644046,-5.379813,55.643317
Allt Gobhlach 3,"Allt Gobhlach 3 - Allt Gobhlach - From step fall up to bend, clearing on LB",arran_coastal,Allt Gobhlach,"From step fall up to bend, clearing on LB",187847,644096,-5.37289,55.643957
Allt Gobhlach 4,Allt Gobhlach 4 - Allt Gobhlach - Upstream of intake,arran_coastal,Allt Gobhlach,Upstream of intake,188884,643947,-5.356328,55.643072
Argyll_0354,Argyll_0354 - Glenrosa Water - Downstream of drain entering the right bank,arran_coastal,Glenrosa Water,Downstream of drain entering the right bank,200262,637362,-5.171068,55.588804
Garbh Allt 1,"Garbh Allt 1 - Garbh Allt - Monyquil farm, upstream of the ford and 10m downstream of watergate",arran_coastal,Garbh Allt,"Monyquil farm, upstream of the ford and 10m downstream of watergate",193923,635438,-5.27004,55.568904
Garbh Allt 2,Garbh Allt 2 - Garbh Allt - Upstream of bend and big boulder. Left hand side of river,arran_coastal,Garbh Allt,Upstream of bend and big boulder. Left hand side of river,193884,635606,-5.270782,55.570394
Garbh Allt 3,"Garbh Allt 3 - Garbh Allt - Upstream both sets of falls, upstream of bend up to pool",arran_coastal,Garbh Allt,"Upstream both sets of falls, upstream of bend up to pool",194289,636545,-5.26507,55.578989
Garbh Allt 4,"Garbh Allt 4 - Garbh Allt - Top site, upstream of intake",arran_coastal,Garbh Allt,"Top site, upstream of intake",194367,636972,-5.264153,55.582853
COLL01,COLL01 - Allt mor (North) - 2m u/s of rd culvert,coll_coastal,Allt mor (North),2m u/s of rd culvert,124994,763380,-6.491974,56.680985
